
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      3,248 K
Secure System                  108 Services                   0     30,696 K
Registry                       148 Services                   0     13,944 K
smss.exe                       640 Services                   0        156 K
csrss.exe                      956 Services                   0      2,188 K
wininit.exe                    692 Services                   0        960 K
services.exe                  1036 Services                   0      5,652 K
LsaIso.exe                    1056 Services                   0      1,460 K
lsass.exe                     1072 Services                   0     16,872 K
svchost.exe                   1276 Services                   0     18,740 K
fontdrvhost.exe               1308 Services                   0        356 K
svchost.exe                   1416 Services                   0     16,104 K
svchost.exe                   1460 Services                   0      6,440 K
WUDFHost.exe                  1532 Services                   0      6,572 K
svchost.exe                   1640 Services                   0      2,332 K
svchost.exe                   1648 Services                   0      2,736 K
svchost.exe                   1656 Services                   0      1,884 K
svchost.exe                   1780 Services                   0      6,584 K
svchost.exe                   1808 Services                   0      3,924 K
svchost.exe                   1820 Services                   0      5,164 K
svchost.exe                   1840 Services                   0     13,100 K
IntelCpHDCPSvc.exe            2024 Services                   0      1,852 K
svchost.exe                    492 Services                   0      7,896 K
svchost.exe                    576 Services                   0      5,272 K
svchost.exe                   1092 Services                   0      2,432 K
svchost.exe                   1096 Services                   0      3,892 K
svchost.exe                   2072 Services                   0      3,660 K
svchost.exe                   2124 Services                   0      4,032 K
svchost.exe                   2368 Services                   0      4,836 K
svchost.exe                   2380 Services                   0      5,072 K
svchost.exe                   2388 Services                   0      7,792 K
svchost.exe                   2404 Services                   0      3,624 K
igfxCUIServiceN.exe           2560 Services                   0      3,056 K
svchost.exe                   2572 Services                   0      9,488 K
svchost.exe                   2616 Services                   0      1,764 K
svchost.exe                   2948 Services                   0      2,692 K
svchost.exe                   3052 Services                   0      6,848 K
svchost.exe                   2532 Services                   0      4,132 K
svchost.exe                   2512 Services                   0      1,600 K
WUDFHost.exe                  3144 Services                   0      3,888 K
svchost.exe                   3152 Services                   0      3,776 K
svchost.exe                   3160 Services                   0      4,772 K
Memory Compression            3176 Services                   0    145,316 K
svchost.exe                   3324 Services                   0     13,808 K
WUDFHost.exe                  3404 Services                   0      1,308 K
svchost.exe                   3492 Services                   0      1,916 K
WUDFHost.exe                  3512 Services                   0        244 K
WUDFHost.exe                  3616 Services                   0      7,816 K
svchost.exe                   3724 Services                   0      8,748 K
svchost.exe                   3756 Services                   0      1,876 K
svchost.exe                   3768 Services                   0      3,808 K
svchost.exe                   4008 Services                   0      3,956 K
svchost.exe                   3112 Services                   0      4,836 K
svchost.exe                   3816 Services                   0     11,280 K
svchost.exe                   4104 Services                   0      5,752 K
spoolsv.exe                   4280 Services                   0      3,512 K
wlanext.exe                   4292 Services                   0      1,540 K
conhost.exe                   4316 Services                   0        580 K
svchost.exe                   4324 Services                   0      9,628 K
svchost.exe                   4464 Services                   0      2,400 K
svchost.exe                   4588 Services                   0      1,308 K
svchost.exe                   4596 Services                   0     16,800 K
DAX3API.exe                   4604 Services                   0      7,944 K
OneApp.IGCC.WinService.ex     4612 Services                   0      8,652 K
Lenovo.Modern.ImControlle     4620 Services                   0     27,184 K
IntelAudioService.exe         4628 Services                   0     10,644 K
FMService64.exe               4636 Services                   0      3,920 K
svchost.exe                   4652 Services                   0      3,680 K
hMailServer.exe               4660 Services                   0      7,948 K
OfficeClickToRun.exe          4668 Services                   0      6,768 K
svchost.exe                   4684 Services                   0     10,636 K
svchost.exe                   4692 Services                   0     21,200 K
esif_uf.exe                   4712 Services                   0      1,440 K
LenovoUtilityService.exe      4820 Services                   0      5,164 K
LNBITSSvc.exe                 4868 Services                   0     11,228 K
VoiceAssistantService.exe     4904 Services                   0      4,532 K
LMS.exe                       4912 Services                   0      1,652 K
servicehost.exe               4964 Services                   0     23,584 K
RstMwService.exe              5060 Services                   0      5,976 K
RtkAudUService64.exe          5104 Services                   0      4,304 K
SafeExamBrowser.Service.e     5116 Services                   0      4,956 K
SessionService.exe            4492 Services                   0        448 K
svchost.exe                   5128 Services                   0      3,368 K
jhi_service.exe               5140 Services                   0        852 K
svchost.exe                   5196 Services                   0      1,060 K
